DATE 	LAT 	LON 	magni 	DEPTHkm 	REGION
09-JUN-2012 07:54:11 	28.40 	84.13 	4.8 	20.1 	NEPAL
09-JUN-2012 06:19:21 	16.30 	-98.31 	4.2 	10.0 	NEAR COAST OF GUERRERO, MEXICO
09-JUN-2012 04:41:19 	22.83 	120.64 	4.5 	17.7 	TAIWAN
09-JUN-2012 03:59:16 	46.79 	152.34 	4.8 	80.3 	KURIL ISLANDS
09-JUN-2012 02:25:32 	-18.73 	169.75 	4.1 	303.4 	VANUATU ISLANDS
09-JUN-2012 02:04:55 	46.21 	12.44 	4.5 	7.0 	NORTHERN ITALY
09-JUN-2012 01:29:59 	48.30 	153.30 	4.3 	128.6 	KURIL ISLANDS
09-JUN-2012 00:55:29 	-6.51 	129.54 	4.7 	182.8 	BANDA SEA
09-JUN-2012 00:12:01 	24.27 	141.52 	4.3 	119.7 	VOLCANO ISLANDS REGION
08-JUN-2012 18:27:36 	62.22 	-147.88 	4.3 	39.4 	CENTRAL ALASKA
08-JUN-2012 17:33:55 	36.57 	146.31 	4.5 	14.5 	OFF EAST COAST OF HONSHU, JAPAN
08-JUN-2012 16:15:14 	29.75 	50.69 	4.9 	33.4 	SOUTHERN IRAN
08-JUN-2012 12:54:27 	-12.16 	-76.48 	4.1 	9.9 	NEAR COAST OF PERU
08-JUN-2012 11:36:23 	-7.91 	147.31 	4.1 	34.8 	EASTERN NEW GUINEA REG., P.N.G.
08-JUN-2012 11:31:05 	-30.77 	150.54 	4.2 	17.0 	NEW SOUTH WALES, AUSTRALIA
08-JUN-2012 10:47:09 	-22.96 	-175.42 	6.0 	34.3 	TONGA ISLANDS REGION
08-JUN-2012 07:04:23 	-5.87 	107.40 	4.5 	300.5 	JAWA, INDONESIA
08-JUN-2012 06:47:03 	42.63 	69.78 	4.5 	40.3 	CENTRAL KAZAKHSTAN
08-JUN-2012 06:29:13 	3.71 	127.33 	4.9 	35.0 	TALAUD ISLANDS, INDONESIA
08-JUN-2012 05:22:40 	37.56 	141.85 	4.9 	48.8 	NEAR EAST COAST OF HONSHU, JAPAN
08-JUN-2012 05:15:51 	31.01 	130.96 	4.5 	74.3 	KYUSHU, JAPAN
08-JUN-2012 04:41:31 	11.64 	124.89 	4.2 	35.0 	LEYTE, PHILIPPINE ISLANDS
08-JUN-2012 04:29:47 	-4.19 	135.68 	4.6 	9.4 	IRIAN JAYA REGION, INDONESIA
08-JUN-2012 04:27:20 	36.32 	139.07 	4.2 	150.2 	EASTERN HONSHU, JAPAN
08-JUN-2012 04:19:03 	-1.66 	-81.51 	4.8 	33.5 	OFF COAST OF ECUADOR
08-JUN-2012 04:10:38 	36.91 	141.10 	4.3 	42.5 	NEAR EAST COAST OF HONSHU, JAPAN
08-JUN-2012 03:44:28 	41.33 	20.89 	4.3 	7.0 	ALBANIA
08-JUN-2012 03:18:41 	36.19 	70.77 	4.0 	93.2 	HINDU KUSH REGION, AFGHANISTAN
08-JUN-2012 01:38:24 	-29.69 	-72.83 	4.0 	10.3 	OFF COAST OF CENTRAL CHILE
08-JUN-2012 00:35:02 	11.81 	-86.42 	4.2 	78.6 	NEAR COAST OF NICARAGUA
08-JUN-2012 00:06:42 	-35.31 	179.16 	4.2 	136.3 	OFF E. COAST OF N. ISLAND, N.Z.
07-JUN-2012 23:33:44 	37.71 	141.77 	4.1 	58.6 	NEAR EAST COAST OF HONSHU, JAPAN
07-JUN-2012 23:19:23 	57.84 	-124.87 	4.3 	10.0 	BRITISH COLUMBIA, CANADA
07-JUN-2012 22:07:59 	-7.35 	129.43 	4.3 	137.5 	BANDA SEA
07-JUN-2012 22:02:34 	2.66 	128.73 	4.5 	85.5 	HALMAHERA, INDONESIA
07-JUN-2012 21:13:34 	35.44 	140.22 	4.4 	46.9 	NEAR EAST COAST OF HONSHU, JAPAN
